ETFs/ETCs,Ticker,Exchange,Trading Currency,Base Currency,ISIN,WKN,Valoren,SEDOL,SFDR Classification,"AUM (Base) (as of 
2022-08-12)","NAV (as of 
2022-08-12)",TER,Product Type,UCITS,Registrations,,,,,,,,,,,,,,,,,,,,,,,
The Royal Mint Responsibly Sourced Physical Gold ETC,RMAU LN,LSE,USD,USD,XS2115336336,A279KU,52686486,BKT7175,,"615,963,300",17.8237,0.22%,ETC,N,"AT,BE,DK,FI,FR,DE,IE,IT,LU,NL,NO,ES,SE,GB",,,,,,,,,,,,,,,,,,,,,,,
The Royal Mint Responsibly Sourced Physical Gold ETC,RM8U GY,Xetra,EUR,USD,XS2115336336,A279KU,52686486,BKT71G4,,"615,963,300",17.8237,0.22%,ETC,N,"AT,BE,DK,FI,FR,DE,IE,IT,LU,NL,NO,ES,SE,GB",,,,,,,,,,,,,,,,,,,,,,,
The Royal Mint Responsibly Sourced Physical Gold ETC,RMAP LN,LSE,GBp,USD,XS2115336336,A279KU,52686486,BKT7197,,"615,963,300",17.8237,0.22%,ETC,N,"AT,BE,DK,FI,FR,DE,IE,IT,LU,NL,NO,ES,SE,GB",,,,,,,,,,,,,,,,,,,,,,,
The Royal Mint Responsibly Sourced Physical Gold ETC,RMAU FP,Paris,EUR,USD,XS2115336336,A279KU,52686486,BNBPP98,,"615,963,300",17.8237,0.22%,ETC,N,"AT,BE,DK,FI,FR,DE,IE,IT,LU,NL,NO,ES,SE,GB",,,,,,,,,,,,,,,,,,,,,,,
The Royal Mint Responsibly Sourced Physical Gold ETC,RMAU IM,Borsa Italiana,EUR,USD,XS2115336336,A279KU,52686486,BKT71B9,,"615,963,300",17.8237,0.22%,ETC,N,"AT,BE,DK,FI,FR,DE,IE,IT,LU,NL,NO,ES,SE,GB",,,,,,,,,,,,,,,,,,,,,,,
BTCetc – ETC Group Physical Bitcoin,BTCE FP,Amsterdam,EUR,USD,DE000A27Z304,A27Z30,55503260,BN0ZB02,,"398,036,979",23.1123,2.00%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH,HR,EE,GR,PT,SK,SI,GB",,,,,,,,,,,,,,,,,,,,,,,
BTCetc – ETC Group Physical Bitcoin,BTCF GY,Xetra,USD,USD,DE000A27Z304,A27Z30,55503260,BMFCDV6,,"398,036,979",23.1123,2.00%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH,HR,EE,GR,PT,SK,SI,GB",,,,,,,,,,,,,,,,,,,,,,,
BTCetc – ETC Group Physical Bitcoin,BTCE SE,SIX,USD,USD,DE000A27Z304,A27Z30,55503260,BNLYQL4,,"398,036,979",23.1123,2.00%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH,HR,EE,GR,PT,SK,SI,GB",,,,,,,,,,,,,,,,,,,,,,,
BTCetc – ETC Group Physical Bitcoin,BTCE NA,Paris,USD,USD,DE000A27Z304,A27Z30,55503260,BN0ZB13,,"398,036,979",23.1123,2.00%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH,HR,EE,GR,PT,SK,SI,GB",,,,,,,,,,,,,,,,,,,,,,,
BTCetc – ETC Group Physical Bitcoin,BTCEGZ QX,Aquis Uk,GBp,USD,DE000A27Z304,A27Z30,55503260,BLB3S66,,"398,036,979",23.1123,2.00%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH,HR,EE,GR,PT,SK,SI,GB",,,,,,,,,,,,,,,,,,,,,,,
BTCetc – ETC Group Physical Bitcoin,BTCE GY,Xetra,EUR,USD,DE000A27Z304,A27Z30,55503260,BMWSLR9,,"398,036,979",23.1123,2.00%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH,HR,EE,GR,PT,SK,SI,GB",,,,,,,,,,,,,,,,,,,,,,,
BTCetc – ETC Group Physical Bitcoin,BTCEGBp SE,SIX,GBp,USD,DE000A27Z304,A27Z30,55503260,BLB3S66,,"398,036,979",23.1123,2.00%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH,HR,EE,GR,PT,SK,SI,GB",,,,,,,,,,,,,,,,,,,,,,,
BTCetc – ETC Group Physical Bitcoin,BTCED QX,Aquis Uk,USD,USD,DE000A27Z304,A27Z30,55503260,,,"398,036,979",23.1123,2.00%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH,HR,EE,GR,PT,SK,SI,GB",,,,,,,,,,,,,,,,,,,,,,,
BTCetc – ETC Group Physical Bitcoin,BTCED QE,Aquis Amsterdam,EUR,USD,DE000A27Z304,A27Z30,55503260,,,"398,036,979",23.1123,2.00%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH,HR,EE,GR,PT,SK,SI,GB",,,,,,,,,,,,,,,,,,,,,,,
BTCetc – ETC Group Physical Bitcoin,BTCECHF SE,SIX,CHF,USD,DE000A27Z304,A27Z30,55503260,BLB3S77,,"398,036,979",23.1123,2.00%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH,HR,EE,GR,PT,SK,SI,GB",,,,,,,,,,,,,,,,,,,,,,,
BTCetc – ETC Group Physical Bitcoin,BTCE AV,Wiener Borse,EUR,USD,DE000A27Z304,A27Z30,55503260,BN4RH62,,"398,036,979",23.1123,2.00%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH,HR,EE,GR,PT,SK,SI,GB",,,,,,,,,,,,,,,,,,,,,,,
BTCetc – ETC Group Physical Bitcoin,BTCECZ QX,Aquis Uk,EUR,USD,DE000A27Z304,A27Z30,55503260,BLB3S77,,"398,036,979",23.1123,2.00%,ETC,N,"AT,CZ,DK,FI,FR,DE,IE,IT,LU,NL,NO,PL,ES,SE,CH,HR,EE,GR,PT,SK,SI,GB",,,,,,,,,,,,,,,,,,,,,,,
EMQQ Emerging Markets Internet  Ecommerce UCITS ETF  - Accumulating,EMQP LN,LSE,GBp,USD,IE00BFYN8Y92,A2JR0G,43753877,BYVJ9P1,Article 6,"222,438,041",8.9548,0.86%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
EMQQ Emerging Markets Internet  Ecommerce UCITS ETF  - Accumulating,EMQQ LN,LSE,USD,USD,IE00BFYN8Y92,A2JR0G,43753877,BYVJ906,Article 6,"222,438,041",8.9548,0.86%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
EMQQ Emerging Markets Internet  Ecommerce UCITS ETF  - Accumulating,EMQQ GY,Xetra,EUR,USD,IE00BFYN8Y92,A2JR0G,43753877,BFX38K6,Article 6,"222,438,041",8.9548,0.86%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
EMQQ Emerging Markets Internet  Ecommerce UCITS ETF  - Accumulating,EMQQ IM,Borsa Italiana,EUR,USD,IE00BFYN8Y92,A2JR0G,43753877,BFX1CD1,Article 6,"222,438,041",8.9548,0.86%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
EMQQ Emerging Markets Internet  Ecommerce UCITS ETF  - Accumulating,EMQQ FP,Paris,EUR,USD,IE00BFYN8Y92,A2JR0G,43753877,BN470J6,Article 6,"222,438,041",8.9548,0.86%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
EMQQ Emerging Markets Internet  Ecommerce UCITS ETF  - Accumulating,EMQQN MF,BMV,USD,USD,IE00BFYN8Y92,A2JR0G,43753877,BMZQGB9,Article 6,"222,438,041",8.9548,0.86%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
EMQQ Emerging Markets Internet  Ecommerce UCITS ETF  - Accumulating,EMQQ SE,SIX,CHF,USD,IE00BFYN8Y92,A2JR0G,43753877,BMYC3Q2,Article 6,"222,438,041",8.9548,0.86%,ETF,Y,"AT,DK,FI,FR,DE,IE,IT,LU,NL,NO,SE,CH,GB",,,,,,,,,,,,,,,,,,,,,,,
SparkChange Physical Carbon EUA ETC,CO2 LN,LSE,EUR,EUR,XS2353177293,A3GSS6,114436114,BNLYQ70,,"89,641,700",87.8930,0.89%,ETC,N,"AT,BE,DK,FI,FR,DE,IT,LU,NL,NO,PL,ES,SE,GB",,,,,,,,,,,,,,,,,,,,,,,
SparkChange Physical Carbon EUA ETC,FCO2 GY,Xetra,EUR,EUR,XS2353177293,A3GSS6,114436114,BNLYQL4,,"89,641,700",87.8930,0.89%,ETC,N,"AT,BE,DK,FI,FR,DE,IT,LU,NL,NO,PL,ES,SE,GB",,,,,,,,,,,,,,,,,,,,,,,
SparkChange Physical Carbon EUA ETC,CO2U LN,LSE,USD,EUR,XS2353177293,A3GSS6,114436114,BNLYQH0,,"89,641,700",87.8930,0.89%,ETC,N,"AT,BE,DK,FI,FR,DE,IT,LU,NL,NO,PL,ES,SE,GB",,,,,,,,,,,,,,,,,,,,,,,
